pickup_datetime,avgfare,avgtip,avgpassenger,avgtripdistance
2015010100,12.34,1.18,1.83,2.44
2015010101,13.03,1.30,1.85,2.65
2015010102,13.20,1.38,1.84,2.80
2015010103,13.32,1.30,1.82,2.99
2015010104,13.77,1.23,1.80,3.22
2015010105,14.74,1.23,1.74,3.67
2015010106,15.17,1.22,1.68,3.86
2015010107,15.08,1.29,1.66,3.91
2015010108,14.20,1.23,1.67,3.63
2015010109,13.15,1.06,1.72,3.27
2015010110,12.23,1.00,1.78,2.92
2015010111,11.26,0.93,1.80,2.52
2015010112,11.45,0.96,1.80,2.55
2015010113,11.66,0.97,1.82,2.63
2015010114,12.29,1.01,1.81,2.75
2015010115,12.53,1.07,1.82,2.83
2015010116,12.11,1.00,1.85,2.67
2015010117,11.80,0.98,1.81,2.51
2015010118,11.24,0.96,1.82,2.29
2015010119,11.01,0.97,1.82,2.28
2015010120,11.79,1.13,1.82,2.63
2015010121,11.48,1.09,1.82,2.54
2015010122,11.56,1.14,1.80,2.64
2015010123,12.19,1.20,1.78,2.90
2015010200,12.34,1.21,1.77,2.99
2015010201,11.57,1.04,1.72,2.70
2015010202,11.91,1.01,1.77,2.84
2015010203,13.46,1.15,1.75,3.34
2015010204,16.56,1.35,1.72,4.39
2015010205,17.91,1.74,1.61,4.94
2015010206,14.19,1.37,1.57,3.65
2015010207,12.36,1.25,1.61,2.99
2015010208,11.31,1.17,1.65,2.47
2015010209,11.54,1.06,1.70,2.52
2015010210,11.53,0.95,1.74,2.42
2015010211,11.20,0.91,1.74,2.20
2015010212,11.32,0.95,1.74,2.24
2015010213,11.45,0.95,1.75,2.26
2015010214,12.33,1.03,1.76,2.52
2015010215,12.60,1.07,1.77,589.98
2015010216,12.31,1.12,1.77,2.47
2015010217,11.90,1.12,1.79,2.28
2015010218,11.40,1.11,1.79,2.16
2015010219,11.19,1.11,1.81,2.03
2015010220,11.58,1.16,1.79,2.35
2015010221,11.55,1.16,1.78,2.43
2015010222,11.38,1.15,1.81,2.37
2015010223,11.90,1.25,1.80,2.60
2015010300,11.67,1.22,1.78,2.56
2015010301,11.47,1.24,1.79,2.51
2015010302,11.67,1.23,1.79,2.59
2015010303,12.54,1.27,1.80,2.91
2015010304,14.15,1.26,1.76,3.51
2015010305,18.78,1.78,1.70,5.16
2015010306,17.79,1.69,1.58,4.81
2015010307,14.62,1.37,1.62,3.78
2015010308,12.63,1.22,1.65,3.03
2015010309,10.96,0.99,1.71,2.43
2015010310,10.86,0.96,1.74,2.33
2015010311,10.79,0.95,1.76,2.20
2015010312,10.61,0.95,1.77,2.02
2015010313,10.82,0.92,1.81,1.96
2015010314,11.12,1.00,1.78,2.14
2015010315,11.10,1.00,1.78,2.18
2015010316,11.31,1.06,1.79,2.24
2015010317,10.97,1.03,1.78,2.20
2015010318,10.81,1.05,1.79,94.17
2015010319,10.70,1.01,1.80,125.79
2015010320,10.89,1.14,1.80,2.19
2015010321,10.76,1.12,1.79,2.18
2015010322,11.42,1.22,1.80,2.42
2015010323,11.65,1.30,1.79,8.35
2015010400,11.75,1.30,1.77,2.60
2015010401,11.92,1.32,1.77,31.59
2015010402,11.83,1.28,1.75,2.68
2015010403,12.40,1.28,1.76,3.62
2015010404,14.28,1.31,1.74,3.52
2015010405,18.31,1.71,1.66,4.91
2015010406,19.34,1.98,1.56,5.48
2015010407,15.78,1.65,1.58,4.18
2015010408,13.15,1.32,1.63,3.18
2015010409,11.79,1.17,1.68,2.75
2015010410,11.45,1.15,1.70,2.58
2015010411,11.12,1.09,1.71,2.37
2015010412,10.96,1.07,1.73,5.96
2015010413,11.44,1.16,1.73,2.39
2015010414,12.40,1.26,1.73,2.64
2015010415,12.82,1.35,1.73,92.50
2015010416,12.88,1.37,1.74,2.87
2015010417,12.42,1.32,1.73,2.71
2015010418,12.27,1.32,1.73,2.67
2015010419,11.64,1.21,1.72,174.46
2015010420,11.81,1.31,1.72,2.60
2015010421,13.05,1.50,1.70,62.47
2015010422,14.20,1.66,1.69,3.63
2015010423,15.64,1.76,1.65,4.16
2015010500,17.29,1.97,1.65,4.82
2015010501,17.11,1.86,1.61,4.68
2015010502,15.57,1.43,1.66,4.00
2015010503,14.35,1.15,1.60,3.57
2015010504,17.12,1.73,1.61,4.62
2015010505,15.72,1.93,1.55,4.27
2015010506,12.64,1.46,1.53,3.05
2015010507,11.75,1.31,1.59,2.44
2015010508,11.53,1.31,1.62,2.12
2015010509,11.42,1.30,1.61,2.14
2015010510,11.60,1.23,1.63,11.08
2015010511,11.40,1.14,1.65,2.24
2015010512,11.26,1.08,1.68,2.18
2015010513,11.65,1.10,1.67,2.31
2015010514,11.90,1.17,1.69,2.41
2015010515,12.08,1.17,1.71,2.46
2015010516,11.84,1.25,1.69,2.41
2015010517,11.56,1.27,1.67,2.28
2015010518,10.79,1.25,1.66,2.06
2015010519,10.66,1.29,1.66,2.14
2015010520,11.20,1.34,1.67,2.43
2015010521,12.02,1.46,1.67,2.73
2015010522,12.58,1.56,1.68,2.96
2015010523,13.42,1.63,1.68,3.35
2015010600,14.58,1.64,1.65,3.69
2015010601,14.15,1.42,1.63,3.58
2015010602,13.62,1.21,1.64,3.26
2015010603,13.62,1.25,1.67,3.32
2015010604,15.50,1.38,1.62,4.10
2015010605,14.34,1.63,1.54,3.73
2015010606,11.48,1.25,1.54,2.63
2015010607,10.70,1.18,1.60,2.07
2015010608,11.00,1.27,1.63,1.76
2015010609,11.95,1.38,1.63,1.78
2015010610,12.20,1.30,1.63,1.88
2015010611,11.83,1.19,1.65,1.79
2015010612,11.35,1.16,1.65,1.79
2015010613,11.42,1.16,1.67,1.99
2015010614,11.68,1.19,1.66,2.14
2015010615,11.65,1.20,1.70,2.19
2015010616,11.69,1.29,1.67,2.25
2015010617,10.82,1.22,1.66,2.01
2015010618,10.48,1.24,1.64,1.90
2015010619,10.45,1.29,1.64,2.06
2015010620,11.18,1.39,1.64,2.38
2015010621,11.58,1.48,1.67,2.55
2015010622,12.19,1.53,1.66,2.76
2015010623,12.80,1.52,1.66,3.02
2015010700,13.94,1.55,1.65,3.46
2015010701,14.05,1.47,1.66,3.51
2015010702,12.81,1.19,1.64,3.07
2015010703,12.85,1.14,1.65,3.08
2015010704,15.27,1.48,1.62,3.92
2015010705,13.31,1.52,1.52,3.32
2015010706,10.86,1.16,1.54,2.40
2015010707,10.84,1.22,1.58,2.10
2015010708,10.70,1.24,1.61,1.73
2015010709,10.99,1.29,1.60,1.73
2015010710,11.10,1.20,1.62,1.90
2015010711,10.95,1.14,1.64,1.82
2015010712,11.04,1.15,1.65,1.84
2015010713,11.29,1.19,1.65,1.97
2015010714,11.60,1.18,1.66,2.06
2015010715,11.35,1.18,1.69,2.07
2015010716,11.07,1.22,1.68,2.06
2015010717,10.78,1.22,1.69,1.91
2015010718,10.43,1.25,1.66,1.77
2015010719,10.35,1.28,1.66,1.91
2015010720,10.72,1.35,1.66,2.15
2015010721,11.46,1.50,1.68,2.47
2015010722,11.84,1.49,1.68,2.58
2015010723,12.88,1.56,1.67,3.04
2015010800,13.56,1.59,1.66,3.32
2015010801,12.94,1.37,1.66,3.08
2015010802,12.39,1.17,1.70,2.91
2015010803,12.90,1.19,1.67,3.14
2015010804,14.73,1.50,1.65,3.77
2015010805,13.19,1.55,1.55,3.28
2015010806,10.89,1.23,1.56,2.38
2015010807,10.47,1.20,1.60,1.98
2015010808,10.58,1.24,1.62,1.71
2015010809,10.82,1.24,1.62,1.69
2015010810,11.25,1.25,1.64,1.84
2015010811,11.20,1.18,1.64,1.77
2015010812,11.27,1.20,1.65,1.88
2015010813,11.48,1.23,1.66,2.02
2015010814,11.92,1.26,1.67,2.15
2015010815,11.89,1.30,1.70,2.16
2015010816,11.80,1.37,1.65,2.25
2015010817,11.16,1.32,1.66,1.98
2015010818,10.93,1.32,1.66,1.85
2015010819,10.70,1.33,1.66,1.92
2015010820,11.17,1.44,1.67,2.23
2015010821,11.76,1.51,1.68,2.51
2015010822,12.07,1.56,1.70,2.64
2015010823,12.41,1.55,1.69,2.77
2015010900,12.96,1.58,1.68,3.05
2015010901,12.91,1.41,1.68,2.97
2015010902,12.41,1.29,1.66,2.90
2015010903,12.88,1.21,1.66,3.08
2015010904,14.72,1.48,1.61,3.75
2015010905,14.68,1.83,1.56,3.84
2015010906,11.68,1.34,1.54,2.59
2015010907,12.38,1.44,1.60,2.05
2015010908,12.79,1.51,1.64,1.80
2015010909,11.74,1.35,1.60,1.73
2015010910,11.27,1.24,1.61,1.80
2015010911,11.19,1.18,1.63,1.90
2015010912,11.32,1.23,1.61,1.96
2015010913,11.47,1.22,1.66,2.14
2015010914,11.87,1.30,1.67,2.23
2015010915,12.27,1.34,1.67,2.36
2015010916,11.71,1.34,1.66,89.98
2015010917,11.23,1.33,1.66,2.03
2015010918,11.18,1.35,1.67,2.04
2015010919,11.01,1.36,1.69,2.00
2015010920,11.08,1.36,1.70,2.17
2015010921,11.35,1.37,1.72,290.76
2015010922,11.69,1.37,1.76,721.78
2015010923,12.17,1.43,1.75,2.53
2015011000,12.20,1.44,1.75,2.58
2015011001,12.20,1.45,1.74,4.01
2015011002,12.17,1.40,1.73,2.70
2015011003,12.38,1.34,1.76,2.81
2015011004,13.69,1.37,1.75,3.25
2015011005,15.98,1.63,1.63,4.21
2015011006,15.63,1.80,1.57,4.13
2015011007,12.31,1.35,1.57,2.93
2015011008,10.69,1.14,1.62,2.29
2015011009,9.86,1.03,1.67,1.93
2015011010,9.79,1.04,1.69,1.84
2015011011,10.01,1.03,1.72,1.81
2015011012,10.10,1.05,1.73,1.76
2015011013,10.61,1.07,1.73,1.84
2015011014,10.60,1.10,1.74,1.87
2015011015,11.21,1.19,1.73,2.08
2015011016,10.94,1.16,1.72,66.75
2015011017,10.94,1.13,1.73,2.02
2015011018,10.58,1.12,1.73,1.86
2015011019,10.85,1.13,1.75,1.91
2015011020,10.68,1.21,1.75,1.93
2015011021,10.91,1.23,1.77,2.04
2015011022,11.28,1.25,1.78,2.21
2015011023,11.58,1.33,1.78,2.30
2015011100,11.52,1.34,1.78,2.38
2015011101,11.57,1.34,1.76,2.47
2015011102,11.76,1.35,1.76,2.55
2015011103,12.19,1.33,1.77,2.76
2015011104,13.34,1.26,1.75,3.15
2015011105,16.39,1.58,1.68,4.32
2015011106,16.62,1.83,1.58,4.42
2015011107,13.65,1.47,1.56,3.44
2015011108,10.97,1.18,1.63,2.44
2015011109,10.24,1.11,1.66,2.17
2015011110,10.36,1.12,1.70,2.13
2015011111,10.25,1.12,1.71,2.01
2015011112,10.50,1.16,1.71,2.05
2015011113,11.00,1.22,1.71,2.16
2015011114,11.83,1.32,1.71,2.42
2015011115,12.25,1.36,1.71,2.56
2015011116,12.39,1.44,1.72,2.63
2015011117,11.94,1.35,1.71,2.50
2015011118,11.54,1.30,1.72,2.39
2015011119,11.54,1.34,1.72,588.02
2015011120,12.09,1.43,1.69,20.01
2015011121,12.49,1.51,1.69,948.04
2015011122,13.03,1.55,1.69,3.13
2015011123,13.70,1.64,1.66,3.42
2015011200,14.78,1.69,1.63,3.83
2015011201,14.10,1.45,1.60,3.40
2015011202,13.11,1.15,1.60,3.24
2015011203,14.57,1.33,1.59,3.69
2015011204,16.58,1.78,1.66,4.36
2015011205,16.49,2.10,1.58,4.43
2015011206,12.01,1.39,1.54,2.78
2015011207,11.15,1.32,1.59,2.22
2015011208,11.65,1.39,1.62,1.96
2015011209,11.57,1.37,1.60,1.89
2015011210,11.42,1.29,1.61,1.93
2015011211,11.56,1.31,1.64,2.06
2015011212,11.28,1.24,1.64,1.95
2015011213,11.06,1.20,1.64,1.92
2015011214,11.69,1.28,1.65,2.13
2015011215,11.94,1.31,1.66,2.23
2015011216,11.87,1.39,1.66,2.24
2015011217,11.64,1.41,1.66,2.18
2015011218,11.13,1.41,1.65,2.07
2015011219,10.71,1.37,1.64,2.12
2015011220,11.33,1.48,1.63,2.46
2015011221,11.87,1.57,1.66,2.65
2015011222,12.05,1.57,1.66,2.74
2015011223,12.67,1.57,1.67,3.01
2015011300,12.42,1.53,1.67,2.95
2015011301,12.23,1.29,1.66,2.83
2015011302,12.59,1.23,1.61,3.05
2015011303,13.02,1.15,1.64,3.14
2015011304,15.16,1.60,1.59,3.95
2015011305,14.11,1.71,1.54,3.61
2015011306,11.27,1.31,1.54,2.53
2015011307,11.06,1.30,1.59,2.15
2015011308,11.36,1.40,1.63,1.86
2015011309,11.60,1.41,1.62,1.82
2015011310,11.66,1.37,1.64,1.88
2015011311,11.60,1.34,1.64,1.88
2015011312,11.79,1.33,1.63,1.93
2015011313,11.95,1.36,1.65,2.05
2015011314,12.37,1.42,1.64,2.19
2015011315,12.21,1.42,1.67,2.20
2015011316,12.09,1.48,1.67,2.28
2015011317,11.44,1.41,1.64,2.01
2015011318,10.86,1.35,1.64,1.86
2015011319,10.66,1.38,1.64,1.99
2015011320,10.92,1.44,1.63,2.21
2015011321,11.55,1.54,1.65,2.42
2015011322,12.02,1.60,1.66,2.61
2015011323,12.38,1.56,1.66,2.75
2015011400,12.65,1.51,1.67,2.90
2015011401,12.41,1.38,1.70,2.85
2015011402,11.92,1.19,1.66,2.74
2015011403,13.11,1.26,1.71,3.15
2015011404,15.92,1.79,1.61,4.08
2015011405,14.62,1.93,1.53,3.80
2015011406,11.64,1.43,1.54,2.65
2015011407,11.04,1.33,1.59,2.15
2015011408,11.24,1.38,1.61,1.85
2015011409,11.29,1.41,1.61,1.82
2015011410,11.47,1.37,1.63,1.92
2015011411,12.04,1.42,1.64,2.07
2015011412,11.89,1.34,1.64,1.99
2015011413,12.12,1.43,1.64,2.20
2015011414,12.46,1.44,1.63,2.28
2015011415,12.47,1.44,1.67,2.33
2015011416,12.45,1.51,1.66,2.40
2015011417,11.60,1.45,1.64,2.07
2015011418,10.96,1.38,1.64,1.91
2015011419,10.61,1.37,1.65,1.97
2015011420,11.25,1.48,1.63,2.30
2015011421,11.74,1.59,1.64,2.53
2015011422,12.01,1.60,1.66,2.63
2015011423,12.59,1.61,1.67,2.85
2015011500,12.38,1.47,1.67,2.81
2015011501,12.34,1.38,1.64,2.87
2015011502,12.12,1.24,1.61,2.84
2015011503,13.34,1.36,1.65,3.15
2015011504,15.89,1.69,1.68,4.18
2015011505,14.95,2.00,1.55,3.91
2015011506,11.79,1.42,1.54,2.68
2015011507,11.00,1.29,1.60,2.13
2015011508,11.27,1.39,1.62,1.87
2015011509,11.47,1.38,1.60,1.82
2015011510,11.67,1.33,1.60,1.92
2015011511,11.73,1.33,1.63,1.95
2015011512,11.76,1.31,1.63,2.00
2015011513,12.32,1.42,1.64,2.18
2015011514,12.76,1.49,1.64,2.36
2015011515,12.95,1.51,1.66,2.37
2015011516,13.28,1.65,1.66,2.54
2015011517,12.30,1.49,1.65,2.29
2015011518,11.46,1.44,1.67,2.05
2015011519,11.19,1.43,1.65,2.10
2015011520,11.62,1.52,1.66,2.37
2015011521,12.28,1.61,1.67,2.66
2015011522,12.57,1.66,1.67,2.76
2015011523,12.80,1.68,1.68,2.84
2015011600,12.58,1.55,1.66,2.85
2015011601,12.72,1.44,1.66,2.91
2015011602,12.77,1.29,1.64,3.02
2015011603,13.22,1.35,1.69,3.15
2015011604,15.82,1.71,1.67,4.10
2015011605,16.28,2.07,1.57,4.46
2015011606,12.90,1.59,1.53,3.09
2015011607,11.21,1.31,1.59,2.23
2015011608,11.26,1.35,1.61,1.96
2015011609,11.45,1.37,1.60,1.91
